fecha,hora,latitude,longitude,depth,mag
1945-11-27,01:30:00.000,-15.6,-74.8,60,4.3
1945-11-27,15:55:00.000,-13,-76.2,80,4.2
1945-11-28,13:56:00.000,-12,-77.8,40,4.3
1945-11-30,08:40:00.000,-17,-71.2,30,3.8
1945-12-07,02:00:00.000,-13.5,-75.26,25,3.4
1945-12-12,08:25:00.000,-12,-77.8,40,4.3
1945-12-15,01:15:00.000,-13.5,-75.26,30,3
1945-12-15,05:32:00.000,-6.2,-77.3,40,4.1
1945-12-20,07:00:00.000,-16.5,-72.1,15,4.1
1945-12-21,12:56:00.000,-12,-77.8,40,4.3
1945-12-29,01:00:00.000,-10.6,-75.65,30,4.2
1946-01-01,15:25:00.000,-14.9,-75.1,90,4.7
1946-01-05,07:38:00.000,-10.6,-75.65,25,4.4
1946-01-15,08:55:00.000,-12,-77.8,40,4.3
1946-02-05,00:30:00.000,-15.8,-74.6,50,4.3
1946-02-06,22:52:00.000,-11.8,-75.1,40,3.4
1946-02-08,22:00:00.000,-12,-77.8,40,4.3
1946-02-15,01:30:00.000,-13,-76.2,80,4.7
1946-02-17,08:40:00.000,-5.65,-78,40,4.4
1946-02-17,23:14:00.000,-12,-77.5,40,4.1
1946-02-21,10:48:00.000,-13.57,-71.96,25,3.4
1946-03-06,02:15:00.000,-11.8,-77.5,40,3.8
1946-03-10,04:24:00.000,-11.15,-75.9,30,3.9
1946-03-18,10:25:00.000,-4.4,-81.6,30,4.6
1946-03-27,15:30:00.000,-15.6,-74.8,50,4.2
1946-04-04,15:48:00.000,-9.8,-78.6,50,4.6
1946-04-06,17:50:00.000,-12,-77.8,40,4.3
1946-04-09,10:50:00.000,-12,-77.8,40,4.3
1946-04-13,18:00:00.000,-15.6,-74.8,60,4.3
1946-04-16,23:30:00.000,-15.6,-74.8,60,4.3
1946-04-17,09:40:00.000,-12,-77.8,40,4.3
1946-04-17,17:30:00.000,-13.44,-72.51,25,3.6
1946-05-05,10:00:00.000,-13.5,-76,90,4.2
1946-05-06,17:30:00.000,-16.5,-71.72,20,3.5
1946-05-07,23:18:00.000,-15.65,-74.15,20,4.1
1946-05-08,15:45:00.000,-17.9,-70,30,3.7
1946-05-10,09:10:00.000,-12,-77.8,40,4.8
1946-05-22,14:20:00.000,-18.1,-69.85,30,3.4
1946-05-26,09:00:00.000,-17.3,-72.4,30,4.2
1946-05-27,04:15:00.000,-17.3,-72.4,30,4.2
1946-05-29,10:50:00.000,-11.2,-78,40,3.9
1946-05-30,16:56:00.000,-13.544,-71.964,25,3.3
1946-06-02,04:15:00.000,-15.6,-74.8,60,3.8
1946-06-04,13:35:00.000,-10.7,-78.2,40,3.9
1946-06-06,04:00:00.000,-11.66,-76.32,30,3
1946-06-10,17:00:00.000,-5.85,-77,30,4.4
1946-06-16,04:05:00.000,-17.3,-72.4,30,4.2
1946-06-26,20:20:00.000,-3.617,-81.331,30,4.9
1946-06-27,11:45:00.000,-17.8,-70.2,30,3.6
1946-07-01,11:00:00.000,-5.6,-78.96,20,3.4
1946-07-04,03:16:00.000,-8.3,-79.4,40,4.7
1946-07-04,04:41:00.000,-15.65,-74.15,20,4.6
1946-07-12,16:15:00.000,-5.6,-78.96,20,3.4
